time,altitude,velocity,mass,delta_v,phase,stage,apoapsis,periapsis,eccentricity,flight_path_angle,pitch_angle,remaining_propellant,dynamic_pressure,max_dynamic_pressure
0.0,0.0,406.9,2784494.0,0.0,launch,0,0.0,-6362.6,0.997,-0.00,90.00,2000.0,101421.2,0.0
10.0,130.3,400.5,2652601.6,0.0,launch,0,0.2,-6362.9,0.997,3.86,90.00,1868.1,97031.5,0.0
20.0,559.2,396.8,2520785.0,0.0,launch,0,0.7,-6363.2,0.998,8.67,89.80,1736.3,91397.7,0.0
30.0,1348.2,397.8,2389139.6,0.0,launch,0,1.8,-6363.4,0.998,14.43,87.17,1604.6,84981.1,0.0
40.0,2565.1,409.5,2257784.1,0.0,launch,0,3.6,-6363.5,0.998,20.82,82.74,1473.3,79691.5,3.1
50.0,4285.4,434.0,2126862.9,0.0,launch,0,6.3,-6363.4,0.998,27.42,75.86,1342.4,74867.9,293.1
60.0,6593.0,474.2,1996549.3,0.0,launch,0,10.1,-6363.0,0.998,33.71,66.63,1212.1,69416.6,1399.5
70.0,9581.8,532.9,1867048.1,0.0,gravity_turn,0,15.4,-6362.3,0.997,39.14,54.67,1082.6,61687.7,3447.9
80.0,13356.1,612.7,1738597.7,0.0,gravity_turn,0,22.4,-6360.8,0.997,43.33,42.39,954.1,47105.3,5315.9
90.0,18031.4,716.6,1611472.7,0.0,gravity_turn,0,31.8,-6358.3,0.996,46.12,33.40,827.0,30824.2,5797.7
100.0,23723.8,845.3,1485974.5,0.0,gravity_turn,0,43.8,-6354.2,0.995,47.48,22.45,701.5,55337.3,14886.6
110.0,30493.4,989.4,1362375.1,0.0,gravity_turn,0,58.1,-6347.9,0.993,47.48,18.12,577.9,206827.7,71698.3
120.0,38347.0,1170.7,1240894.4,0.0,gravity_turn,0,75.9,-6337.1,0.990,46.29,15.42,456.4,20966.0,97818.2
130.0,47459.0,1384.0,1121911.7,0.0,gravity_turn,0,98.1,-6321.1,0.985,44.98,12.30,337.4,1290.4,97818.2
140.0,58005.0,1639.8,1005828.1,0.0,gravity_turn,0,127.0,-6297.5,0.978,43.77,8.69,221.3,3126.7,97818.2
